feature,score,max,min,n_null,type
x800,204,,,19,numeric
x821,204,,,19,numeric
x473,203,,,20,numeric
x630,202,,,19,numeric
x374,202,,,19,numeric
x1120,202,,,0,category
x716,201,,,19,numeric
x849,201,,,19,numeric
x629,200,,,19,numeric
x614,200,,,19,numeric
x610,200,,,19,numeric
x277,199,,,19,numeric
x341,199,,,19,numeric
x1007,199,,,19,numeric
x5,199,,,19,numeric
x562,198,,,19,numeric
x1010,198,,,19,numeric
x857,197,,,19,numeric
x993,196,,,19,numeric
x224,196,,,19,numeric
x517,195,,,19,numeric
x271,194,,,19,numeric
x699,192,,,19,numeric
x621,192,,,19,numeric
x631,191,,,19,numeric
x679,191,,,19,numeric
x283,190,,,19,numeric
x371,190,,,19,numeric
x322,188,,,19,numeric
x823,186,,,19,numeric
x297,185,,,19,numeric
x201,185,,,19,numeric
x1104,184,,,4951,numeric
x867,183,,,19,numeric
x750,182,,,19,numeric
x847,182,,,19,numeric
x1131,182,,,0,category
x626,181,,,19,numeric
x1105,181,,,4951,numeric
x1111,180,,,0,category
x973,179,,,13588,numeric
x351,179,,,0,numeric
x818,179,,,13010,numeric
x530,178,,,19,numeric
x715,178,,,19,numeric
x826,178,,,19,numeric
x1015,177,,,19,numeric
x1053,177,,,4951,numeric
x1123,177,,,0,category
x553,176,,,6510,numeric
x513,175,,,19,numeric
x273,175,,,19,numeric
x1135,175,,,0,category
x432,174,,,52,numeric
x747,174,,,19,numeric
x686,173,,,19,numeric
x761,173,,,19,numeric
x23,173,,,131,numeric
x225,172,,,19,numeric
x259,171,,,19,numeric
x1087,171,,,4951,numeric
x676,170,,,19,numeric
x1072,170,,,4951,numeric
x372,170,,,19,numeric
x436,169,,,52,numeric
x990,169,,,19,numeric
x804,168,,,19,numeric
x1022,168,,,19,numeric
x613,167,,,19,numeric
x703,166,,,19,numeric
x410,165,,,19,numeric
x657,164,,,19,numeric
x844,163,,,19,numeric
x581,162,,,19,numeric
x116,162,,,19,numeric
x574,161,,,19,numeric
x544,161,,,19,numeric
x803,160,,,19,numeric
x522,159,,,19,numeric
x503,159,,,83,numeric
x32,158,,,130,numeric
x809,157,,,19,numeric
x509,157,,,19,numeric
x345,156,,,19,numeric
x405,156,,,19,numeric
x381,155,,,19,numeric
x1049,154,,,19,numeric
x889,154,,,4951,numeric
x648,153,,,6585,numeric
x827,153,,,19,numeric
x674,152,,,19,numeric
x908,152,,,4951,numeric
x850,151,,,19,numeric
x391,151,,,19,numeric
x987,151,,,19,numeric
x533,149,,,19,numeric
x335,149,,,19,numeric
x1136,148,,,0,category
x948,147,,,286,numeric
x369,146,,,19,numeric
x984,143,,,19,numeric
x415,143,,,0,category
x705,139,,,19,numeric
x684,139,,,19,numeric
x687,138,,,19,numeric
